TC ID,대분류,중분류,화면/기능,전제조건,테스트 데이터,수행 절차,기대 결과,실제 결과,상태,우선순위,테스트 유형,자동화,담당자,메모,비고
TC-S-NUT-01,슈퍼어드민 · 영양소 관리,목록 조회,AI Mate 추천 상품 관리 > 영양소 관리,관리자 로그인,-,1) 좌측 메뉴 [AI Mate 추천 상품 관리] > [영양소 관리] 진입,부족 영양소·관련 카테고리·관련 성분 수·노출(ON/OFF)·최종 수정일 컬럼으로 목록이 표시된다,,Not Yet,P1,Positive,N,,,
TC-S-NUT-02,슈퍼어드민 · 영양소 관리,상세 진입,목록 행 클릭,영양소 1건 이상 존재,비타민 B12,1) 목록에서 임의 행 클릭,해당 영양소 상세 페이지로 전환된다,,Not Yet,P1,Positive,N,,,
TC-S-NUT-03,슈퍼어드민 · 영양소 관리,영양소 추가,[영양소 추가],관리자 로그인,신규 영양소명,1) [영양소 추가] 클릭  2) 부족 영양소명 입력·저장,"영양소가 단건 등록되고, 기본 노출 상태가 OFF로 생성된다",,Not Yet,P0,Positive,N,,,
TC-S-NUT-04,슈퍼어드민 · 영양소 관리,카테고리 편집,상세 · 기본 정보,영양소 상세 진입,관련 카테고리 값 변경,1) 관련 카테고리 수정  2) [저장],관련 카테고리가 저장·반영된다,,Not Yet,P1,Positive,N,,,
TC-S-NUT-05,슈퍼어드민 · 영양소 관리,굿팜 추천 상품 등록,상세 · 굿팜 추천 상품(최대 2),영양소 상세 진입,마스터 상품 2건,1) [+ 상품 등록]으로 검색·추가  2) 순서 조정  3) [저장],굿팜 추천 상품이 최대 2개까지 등록되고 순서가 저장된다,,Not Yet,P0,Positive,N,,,
TC-S-NUT-06,슈퍼어드민 · 영양소 관리,굿팜 추천 최대 초과,굿팜 추천 상품 3개째 추가,굿팜 추천 상품 2건 등록됨,3번째 상품,1) 3번째 상품 추가 시도,최대 2개 도달 안내가 표시되고 추가되지 않는다(추가하려면 삭제),,Not Yet,P1,Negative,N,,,
TC-S-NUT-07,슈퍼어드민 · 영양소 관리,관련 성분 목록,상세 · 관련 성분(성분코드 리스트),영양소 상세 진입,-,1) 관련 성분 영역 확인,"성분코드·성분명·제형·부족해지는 이유·근거 컬럼의 성분코드 단위 리스트가 총 개수와 함께 표시되고, 10개 이하여도 페이지네이션 UI가 노출된다",,Not Yet,P1,Positive,N,,,
TC-S-NUT-08,슈퍼어드민 · 영양소 관리,관련 성분 검색,관련 성분 · 검색,관련 성분 다수,성분명/코드,1) 검색창에 성분명 또는 성분코드 입력,입력값과 일치하는 성분만 필터되어 표시된다,,Not Yet,P2,Positive,Partial,,,
TC-S-NUT-09,슈퍼어드민 · 영양소 관리,관련 성분 → 성분 관리,관련 성분 행 클릭,관련 성분 1건 이상,-,1) 관련 성분 리스트에서 행 클릭,해당 성분의 [성분 관리] 상세로 이동한다,,Not Yet,P1,Branch,N,,,
TC-S-NUT-10,슈퍼어드민 · 영양소 관리,노출 토글,상세 · AI mate 노출 ON/OFF,영양소 상세 진입,-,1) AI mate 노출 토글 ON→OFF(또는 반대)  2) [저장],노출 상태가 저장되고 목록·연동 화면에 반영된다,,Not Yet,P0,Positive,N,,,
TC-S-NUT-11,슈퍼어드민 · 영양소 관리,수정 이력,상세 · 수정 이력,카테고리/굿팜추천/노출 중 1건 변경,-,1) 값 변경·저장 후 수정 이력 확인,변경 항목·수정일시·변경 전/후·수정자가 한 줄로 기록된다,,Not Yet,P1,Positive,N,,,
TC-S-NUT-12,슈퍼어드민 · 영양소 관리,삭제(OFF 상태),상세 · 삭제(soft delete),노출 OFF 상태 영양소,-,1) [삭제] 클릭  2) 확인 모달에서 [확인],"확인 모달(부족 영양소를 삭제하시겠습니까?) 후 soft delete 되어 전 서비스 미노출, 원천 데이터는 보존된다",,Not Yet,P0,Branch,N,,,
TC-S-NUT-13,슈퍼어드민 · 영양소 관리,삭제 제한(ON 상태),상세 · 삭제 버튼,노출 ON 상태 영양소,-,1) 노출 ON 상태에서 [삭제] 시도,삭제는 노출 OFF 상태에서만 가능하다는 안내로 삭제가 차단된다,,Not Yet,P1,Negative,N,,,
TC-S-NUT-14,슈퍼어드민 · 영양소 관리,목록 명칭 정책,영양소 관리 목록 명칭,-,-,1) 목록 명칭/컬럼 정책 확인,명칭을 '추천 상품 관리'로 둘 경우 추천 상품 열·추천 상품명 검색이 필요 — 현재 기준(영양소 관리) 확정 여부 확인,,Not Yet,P2,Compliance,N,,,
TC-S-ING-01,슈퍼어드민 · 성분 관리,목록 조회,성분 관리 목록,관리자 로그인,-,1) [AI Mate 추천 상품 관리] > [성분 관리] 진입,성분코드·성분명·연결 부족 영양소 수·최종 수정일 컬럼의 목록이 표시된다,,Not Yet,P1,Positive,N,,,
TC-S-ING-02,슈퍼어드민 · 성분 관리,검색,성분 관리 · 검색,성분 다수,성분코드/성분명,1) 검색창에 성분코드 또는 성분명 입력,일치하는 성분만 필터되어 표시된다,,Not Yet,P2,Positive,Partial,,,
TC-S-ING-03,슈퍼어드민 · 성분 관리,상세 진입,목록 행 클릭,성분 1건 이상,오메프라졸,1) 목록 행 클릭,성분 정보 상세(성분코드·성분명·연결 부족 영양소)가 표시된다,,Not Yet,P1,Positive,N,,,
TC-S-ING-04,슈퍼어드민 · 성분 관리,성분명 공통값 수정,상세 · 성분명 수정,성분 상세 진입,성분명 변경값,1) 성분명 수정  2) 확인 모달에서 [확인],확인 모달 후 성분명이 전 화면 공통값으로 반영된다,,Not Yet,P0,Positive,N,,,
TC-S-ING-05,슈퍼어드민 · 성분 관리,부족 영양소 연결 추가,상세 · [+ 부족 영양소 추가],성분 상세 진입,연결할 영양소,1) [+ 부족 영양소 추가]  2) 전체 영양소에서 검색·선택,선택한 부족 영양소가 연결 목록에 추가되고 드롭다운이 닫힌다,,Not Yet,P0,Positive,N,,,
TC-S-ING-06,슈퍼어드민 · 성분 관리,이유·근거 조합별 수정,상세 · 연결 영양소별 이유/근거,연결 부족 영양소 1건 이상,이유/근거 텍스트,1) 특정 (성분×영양소) 행의 부족해지는 이유·근거 수정  2) [저장],이유·근거가 (성분코드 × 부족 영양소) 조합별로 독립 저장된다,,Not Yet,P0,Positive,N,,,
TC-S-ING-07,슈퍼어드민 · 성분 관리,연결 해제,상세 · 연결 영양소 삭제,연결 부족 영양소 1건 이상,-,1) 연결 목록에서 [삭제],해당 부족 영양소 연결이 해제된다,,Not Yet,P1,Positive,N,,,
TC-S-ING-08,슈퍼어드민 · 성분 관리,성분 추가,[성분 추가],관리자 로그인,성분코드·성분명,1) [성분 추가]  2) 성분코드·성분명 입력  3) 기존 부족 영양소 연동·이유·근거 입력·저장,성분코드 단위로 신규 성분이 등록되고 부족 영양소 연결·이유·근거가 저장된다,,Not Yet,P0,Positive,N,,,
